,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Okhotsk,100,RU,1580009194,72,59.38,143.3,-11.83,15.93
1,Xining,0,CN,1580009502,45,36.62,101.77,18.23,5.37
2,Aksay,100,RU,1580009503,80,47.26,39.87,35.6,11.18
3,Ust'-Karsk,0,RU,1580009504,78,52.7,118.81,8.02,1.79
4,Bluff,57,NZ,1580009157,52,-46.6,168.33,66.49,8.52
5,Koplik,90,AL,1580009507,100,42.21,19.44,50.0,2.24
6,Methoni,93,GR,1580009230,93,36.82,21.7,51.01,2.24
7,Cidreira,74,BR,1580009045,68,-30.18,-50.21,75.56,14.32
8,George Town,20,MY,1580009165,66,5.41,100.34,86.0,6.93
9,Praia da Vitoria,20,PT,1580009512,93,38.73,-27.07,51.8,3.94
10,Ushuaia,75,AR,1580008892,75,-54.8,-68.3,46.4,23.04
11,Yokadouma,100,CM,1580009514,29,3.52,15.05,59.94,2.46
12,Lebu,0,CL,1580009156,85,-37.62,-73.65,61.23,7.78
13,Jaguarari,100,BR,1580009516,74,-10.26,-40.2,76.5,3.49
14,Albany,90,US,1580008912,93,42.6,-73.97,39.0,5.82
15,Rikitea,0,PF,1580008984,77,-23.12,-134.97,79.11,10.22
16,Punta Arenas,75,CL,1580009516,70,-53.15,-70.92,48.2,25.28
17,Mataura,64,NZ,1580009073,58,-46.19,168.86,77.65,0.58
18,Severo-Kuril'sk,100,RU,1580009076,92,50.68,156.12,18.86,40.24
19,Kaitangata,5,NZ,1580009156,66,-46.28,169.85,68.0,10.45
20,Norman Wells,20,CA,1580009526,68,65.28,-126.83,-14.8,9.17
21,Tobane,0,BW,1580009527,63,-21.95,27.9,69.66,1.99
22,Christchurch,0,NZ,1580009235,64,-43.53,172.63,82.0,13.87
23,Busselton,97,AU,1580009171,27,-33.65,115.33,91.99,5.23
24,Mar del Plata,0,AR,1580009504,59,-38.0,-57.56,66.2,8.05
25,Quatre Cocos,75,MU,1580009531,83,-20.21,57.76,78.01,13.87
26,Jining,100,CN,1580009533,44,35.41,116.58,41.18,3.09
27,Moerai,96,PF,1580009198,75,-22.43,-151.33,81.54,9.31
28,Rawson,0,AR,1580009086,42,-43.3,-65.1,72.3,20.87
29,College,1,US,1580009184,74,64.86,-147.8,-9.99,4.59
30,Atuona,74,PF,1580008922,77,-9.8,-139.03,80.74,13.8
31,Bonthe,31,SL,1580009247,92,7.53,-12.51,75.45,6.04
32,Oistins,75,BB,1580009539,83,13.07,-59.53,77.0,1.12
33,Bredasdorp,68,ZA,1580008924,87,-34.53,20.04,59.0,13.87
34,Hermanus,83,ZA,1580009158,98,-34.42,19.23,57.0,8.99
35,Benguela,100,AO,1580009193,77,-12.58,13.41,77.45,3.18
36,Hilo,90,US,1580008914,57,19.73,-155.09,80.6,3.36
37,Hambantota,40,LK,1580009545,88,6.12,81.12,77.0,12.75
38,Port Alfred,80,ZA,1580009500,98,-33.59,26.89,66.99,7.0
39,Nizwa,71,OM,1580009548,84,22.93,57.53,58.89,9.44
40,Karaton,20,ID,1580009549,74,-6.34,106.1,84.2,2.24
41,Wasilla,1,US,1580009550,76,61.58,-149.44,5.0,0.81
42,Coyhaique,5,CL,1580009217,51,-45.58,-72.07,59.0,5.82
43,Provincia di Mantova,75,IT,1580009552,100,45.17,10.78,46.0,2.24
44,Puerto Ayora,54,EC,1580009528,32,-0.74,-90.35,77.0,3.0
45,Kapaa,40,US,1580008915,65,22.08,-159.32,78.8,6.93
46,Dibulla,100,CO,1580009557,88,11.27,-73.31,78.03,8.66
47,Freeport,40,US,1580009416,81,40.66,-73.58,46.4,10.29
48,Yellowknife,90,CA,1580009191,85,62.46,-114.35,10.4,3.36
49,Semey,94,KZ,1580009561,84,50.41,80.23,3.2,6.71
50,Sayyan,0,YE,1580009559,86,15.17,44.32,46.31,3.96
51,Wiang Sa,20,TH,1580009564,88,8.64,99.37,84.99,4.7
52,Bom Jesus da Lapa,100,BR,1580009565,83,-13.26,-43.42,80.6,4.7
53,Tamiahua,65,MX,1580009567,89,21.27,-97.45,72.19,10.36
54,Pleshanovo,100,RU,1580009568,97,52.83,53.48,26.89,3.33
55,Coro,70,VE,1580009569,89,11.4,-69.67,75.22,6.33
56,Many,90,US,1580009285,50,31.57,-93.48,57.2,5.73
57,Cape Town,40,ZA,1580009497,82,-33.93,18.42,62.01,5.82
58,Cham,90,CH,1580009573,100,47.18,8.46,34.0,3.36
59,Maskinonge,90,CA,1580009574,100,46.23,-73.02,34.0,14.99
60,Dikson,100,RU,1580009164,95,73.51,80.55,-5.84,5.39
61,Iqaluit,20,CA,1580009171,66,63.75,-68.51,-29.0,14.99
62,Tuktoyaktuk,90,CA,1580009169,69,69.45,-133.04,-13.0,24.16
63,Butaritari,100,KI,1580009072,72,3.07,172.79,85.51,9.89
64,Tuatapere,98,NZ,1580008956,51,-46.13,167.68,65.64,4.76
65,Auki,0,SB,1580009231,73,-8.77,160.7,83.89,4.07
66,Cockburn Town,0,TC,1580009581,74,21.46,-71.14,76.39,12.33
67,Itarema,90,BR,1580009243,95,-2.92,-39.92,77.0,4.54
68,Buin,47,CL,1580009583,27,-33.73,-70.75,77.0,12.75
69,Arraial do Cabo,0,BR,1580009531,82,-22.97,-42.03,75.16,6.76
70,Sisimiut,100,GL,1580009586,94,66.94,-53.67,4.08,5.99
71,Longyearbyen,7,SJ,1580009155,70,78.22,15.64,-2.2,2.24
72,Geraldton,15,AU,1580008963,58,-28.77,114.6,82.4,12.75
73,Khatanga,22,RU,1580009174,96,71.97,102.5,-23.94,2.64
74,Baruun-Urt,0,MN,1580009591,81,46.68,113.28,14.2,13.67
75,Moryakovskiy Zaton,40,RU,1580009592,85,56.7,84.65,19.0,15.66
76,Birr,100,IE,1580009593,89,53.09,-7.91,48.99,11.01
77,Souillac,75,MU,1580009051,83,-20.52,57.52,78.01,13.87
78,Constitucion,0,CL,1580009208,67,-35.33,-72.42,63.21,5.7
79,Leningradskiy,98,RU,1580009182,96,69.38,178.42,-12.55,4.12
80,Ulladulla,40,AU,1580009598,44,-35.35,150.47,95.0,11.41
81,Hithadhoo,100,MV,1580009190,77,-0.6,73.08,82.49,9.75
82,Banda Aceh,75,ID,1580009600,56,5.56,95.32,83.68,5.64
83,Nkhotakota,94,MW,1580009602,72,-12.93,34.3,79.25,8.7
84,Katsuura,75,JP,1580009169,86,35.13,140.3,43.0,3.36
85,Barrow,90,US,1580008912,75,71.29,-156.79,-20.2,10.29
86,Uspenka,100,UA,1580009607,90,48.39,39.16,31.23,15.41
87,Mahebourg,75,MU,1580008914,83,-20.41,57.7,78.01,13.87
88,Torbay,5,CA,1580009052,78,47.67,-52.73,19.99,13.87
89,Victoria Point,75,AU,1580009574,65,-27.58,153.3,89.01,13.87
90,Upernavik,100,GL,1580009073,94,72.79,-56.15,-14.24,7.61
91,Holsted,99,DK,1580009613,93,55.51,8.92,44.01,10.29
92,City of San Pedro,40,PH,1580009614,74,14.35,121.02,87.01,5.82
93,Vardo,100,NO,1580009093,85,70.37,31.11,17.6,26.4
94,Vredendal,1,ZA,1580009616,94,-31.67,18.5,59.76,6.8
95,New Norfolk,40,AU,1580009483,35,-42.78,147.06,71.6,18.34
96,Carnarvon,13,AU,1580009188,58,-24.87,113.63,84.2,19.46
97,Ribeira Grande,99,PT,1580009527,74,38.52,-28.7,54.21,5.59
98,Palmer,90,US,1580008928,100,42.16,-72.33,45.0,3.36
99,Waren,75,DE,1580009622,93,53.52,12.68,35.6,4.7
100,Viedma,91,AR,1580009204,50,-40.81,-63.0,64.29,15.21
101,Piacabucu,54,BR,1580009527,88,-10.41,-36.43,80.08,9.1
102,Shingu,75,JP,1580009253,100,33.73,135.98,48.2,5.82
103,Saint-Philippe,90,RE,1580009164,83,-21.36,55.77,75.2,6.93
104,Lyuban,25,BY,1580009627,96,52.8,28.0,30.92,7.81
105,Jamestown,90,US,1580009165,97,42.1,-79.24,34.0,9.17
106,Ostrovnoy,100,RU,1580009237,98,68.05,39.51,1.87,10.38
107,Nikolskoye,20,RU,1580009168,86,59.7,30.79,30.99,4.47
108,Houston,90,US,1580009022,68,29.76,-95.36,64.4,12.75
109,Cherskiy,100,RU,1580009173,96,68.75,161.3,-17.93,2.71
110,Vaini,75,TO,1580009176,88,-21.2,-175.2,80.6,13.87
111,Kiama,40,AU,1580009635,44,-34.68,150.87,95.0,11.41
112,Nanortalik,100,GL,1580009175,75,60.14,-45.24,23.34,16.98
113,Sao Filipe,21,CV,1580009025,63,14.9,-24.5,73.94,18.75
114,Buchanan,14,LR,1580009638,96,5.88,-10.05,75.02,1.86
115,Faanui,62,PF,1580008915,72,-16.48,-151.75,83.16,8.79
116,Thompson,90,CA,1580008957,92,55.74,-97.86,15.8,2.24
117,Kruisfontein,89,ZA,1580009157,87,-34.0,24.73,64.71,22.73
118,Lavrentiya,0,RU,1580008944,77,65.58,-171.0,-13.47,3.15
119,Guerrero Negro,0,MX,1580009516,78,27.98,-114.06,62.11,9.37
120,Samarai,79,PG,1580009524,74,-10.62,150.67,84.76,4.03
121,Touros,75,BR,1580009073,88,-5.2,-35.46,80.6,4.7
122,Zimovniki,100,RU,1580009648,96,47.15,42.46,34.54,19.51
123,Hobart,40,AU,1580009027,35,-42.88,147.33,71.6,18.34
124,Bowen,75,AU,1580009209,94,-20.02,148.23,80.01,8.05
